2025-03-27 08:06:46.940 | WARNING  | __main__:__init__:28 - AIチップが見つかりません
2025-03-27 08:06:46.967 | INFO     | blog_storage:list_blogs:67 - ブログ一覧を取得: ['test_blog']
2025-03-27 08:06:46.967 | INFO     | blog_storage:load_blog:49 - ブログ記事を読み込み: test_blog
2025-03-27 08:06:46.970 | INFO     | __main__:load_blog:86 - ブログを読み込み: test_blog
2025-03-27 08:06:46.971 | INFO     | __main__:load_blogs:71 - ブログ一覧を読み込み: ['test_blog']
2025-03-27 08:06:49.830 | INFO     | blog_storage:save_blog:33 - ブログ記事を保存: test_blog
2025-03-27 08:06:49.832 | INFO     | __main__:save_blog:101 - ブログを保存: test_blog
2025-03-27 08:07:02.790 | INFO     | blog_storage:list_blogs:67 - ブログ一覧を取得: ['test_blog']
2025-03-27 08:07:02.792 | INFO     | blog_storage:save_blog:33 - ブログ記事を保存: 1
2025-03-27 08:07:02.793 | INFO     | blog_storage:list_blogs:67 - ブログ一覧を取得: ['1', 'test_blog']
2025-03-27 08:07:02.801 | INFO     | blog_storage:load_blog:49 - ブログ記事を読み込み: 1
2025-03-27 08:07:02.803 | INFO     | __main__:load_blog:86 - ブログを読み込み: 1
2025-03-27 08:07:02.803 | INFO     | __main__:load_blogs:71 - ブログ一覧を読み込み: ['1', 'test_blog']
2025-03-27 08:07:02.804 | INFO     | blog_storage:load_blog:49 - ブログ記事を読み込み: 1
2025-03-27 08:07:02.804 | INFO     | __main__:load_blog:86 - ブログを読み込み: 1
2025-03-27 08:07:02.827 | INFO     | __main__:create:152 - 新規ブログを作成: 1
2025-03-27 08:07:12.299 | INFO     | blog_storage:save_blog:33 - ブログ記事を保存: 1
2025-03-27 08:07:12.299 | INFO     | __main__:save_blog:101 - ブログを保存: 1
2025-03-27 08:07:20.939 | INFO     | blog_storage:load_blog:49 - ブログ記事を読み込み: test_blog
2025-03-27 08:07:20.941 | INFO     | __main__:load_blog:86 - ブログを読み込み: test_blog
2025-03-27 08:07:24.522 | INFO     | blog_storage:save_blog:33 - ブログ記事を保存: test_blog
2025-03-27 08:07:24.524 | INFO     | __main__:save_blog:101 - ブログを保存: test_blog
2025-03-27 08:10:52.574 | INFO     | blog_storage:__init__:10 - ブログストレージを初期化しました
2025-03-27 08:10:52.577 | INFO     | evolve_chip:__init__:17 - AIチップを初期化しました
2025-03-27 08:10:52.578 | INFO     | __main__:__init__:26 - AIチップを初期化しました
2025-03-27 08:10:52.602 | INFO     | blog_storage:list_blogs:47 - ブログ一覧を取得: []
2025-03-27 08:10:52.603 | INFO     | __main__:load_blogs:71 - ブログ一覧を読み込み: []
2025-03-27 08:11:06.475 | INFO     | blog_storage:save_blog:24 - ブログを保存: test_blog
2025-03-27 08:11:06.476 | INFO     | __main__:save_blog:101 - ブログを保存: test_blog
2025-03-27 08:11:10.418 | INFO     | __main__:evolve_blog:119 - ブログの進化を開始
2025-03-27 08:11:10.419 | INFO     | evolve_chip:start_evolving:26 - 進化プロセスを開始しました
2025-03-27 08:11:13.420 | INFO     | blog_storage:list_blogs:47 - ブログ一覧を取得: ['test_blog']
2025-03-27 08:11:13.420 | INFO     | blog_storage:load_blog:35 - ブログを読み込み: test_blog
2025-03-27 08:11:13.420 | INFO     | blog_storage:save_blog:24 - ブログを保存: test_blog
2025-03-27 08:11:13.422 | INFO     | evolve_chip:record_evolution:101 - 進化履歴を記録: {"timestamp": "2025-03-27T08:11:13.422451", "blog_id": "test_blog", "original_length": 1, "evolved_length": 1, "evolution_suggestion": "こんにちは、世界！今日は素晴らしい一日でした。新しい発見がありました。", "metadata": {"title": "", "original_paragraphs": 0, "evolved_paragraphs": 0}}
2025-03-27 08:11:13.422 | INFO     | evolve_chip:evolve:55 - ブログを進化: test_blog
2025-03-27 08:11:13.423 | INFO     | evolve_chip:stop_evolving:136 - 進化プロセスを停止しました
2025-03-27 08:11:13.423 | INFO     | evolve_chip:cleanup:117 - AIチップを削除しました
2025-03-27 08:14:38.406 | INFO     | blog_storage:__init__:10 - ブログストレージを初期化しました
2025-03-27 08:14:38.411 | INFO     | evolve_chip:__init__:18 - AIチップを初期化しました
2025-03-27 08:14:38.411 | INFO     | __main__:__init__:26 - AIチップを初期化しました
2025-03-27 08:14:38.436 | INFO     | blog_storage:list_blogs:47 - ブログ一覧を取得: ['test_blog']
2025-03-27 08:14:38.437 | INFO     | blog_storage:load_blog:35 - ブログを読み込み: test_blog
2025-03-27 08:14:38.437 | INFO     | __main__:load_blog:86 - ブログを読み込み: test_blog
2025-03-27 08:14:38.439 | INFO     | __main__:load_blogs:71 - ブログ一覧を読み込み: ['test_blog']
2025-03-27 08:14:41.283 | INFO     | blog_storage:save_blog:24 - ブログを保存: test_blog
2025-03-27 08:14:41.283 | INFO     | __main__:save_blog:101 - ブログを保存: test_blog
2025-03-27 08:14:43.644 | INFO     | __main__:evolve_blog:119 - ブログの進化を開始
2025-03-27 08:14:43.645 | INFO     | evolve_chip:start_evolving:27 - 進化プロセスを開始しました
